name,price,bedrooms,bathrooms,sqr,distance,BER,type
2294019,€245 per week,1 Bed,1 Bath,N/A,1.2817255633464653,NA,['To Let']
2294021,€260 per week,1 Bed,1 Bath,N/A,1.2817255633464653,NA,['To Let']
2294015,€250 per week,1 Bed,1 Bath,N/A,1.8944088711668445,NA,['To Let']
3501357,€250 per week,1 Bed,1 Bath,N/A,1.8944088711668445,NA,['To Let']
2294018,€260 per week,1 Bed,1 Bath,N/A,1.8944088711668445,NA,['To Let']
3501366,€260 per week,1 Bed,1 Bath,N/A,1.8944088711668445,NA,['To Let']
2294016,€270 per week,1 Bed,1 Bath,N/A,1.8944088711668445,NA,['To Let']
2313624,€270 per week,1 Bed,1 Bath,N/A,1.8944088711668445,NA,['To Let']
2294022,€280 per week,1 Bed,1 Bath,N/A,1.8944088711668445,NA,['To Let']
2627289,"€1,925 per month",2 Bed,2 Bath,N/A,13.839215316888174,A2,['To Let']
2618871,€875 per week,1 Bed,1 Bath,N/A,1.267356068454894,B3,['To Let']
3618680,"€2,100 per month",2 Bed,1 Bath,N/A,2.6539335932087873,D2,['To Let']
3611375,"€1,995 per month",2 Bed,2 Bath,N/A,3.984965063245098,B3,['To Let']
3554591,€950 per week,1 Bed,1 Bath,N/A,1.4943180195743124,B1,['To Let']
2893370,"€2,500 per month",2 Bed,2 Bath,N/A,3.4744265940052297,C2,['To Let']
3605357,"€1,800 per month",1 Bed,1 Bath,N/A,2.7905928749692204,C2,['To Let']
11226,"€1,155 per week",3 Bed,2 Bath,N/A,2.314817802515857,SI_666,['To Let']
3614312,"€1,900 per month",2 Bed,1 Bath,N/A,1.338753877781665,C3,['To Let']
3604087,"€10,000 per month",3 Bed,4 Bath,N/A,1.8649858136453672,A2,['To Let']
3616864,"€2,400 per month",2 Bed,2 Bath,N/A,1.3428102729924973,D2,['To Let']
3595065,"€4,500 per month",2 Bed,2 Bath,N/A,1.8914487370781758,A3,['To Let']
3611031,"€2,600 per month",2 Bed,1 Bath,N/A,1.3479363575294916,C3,['To Let']
3477101,"€2,380 per month",2 Bed,1 Bath,N/A,0.943550981304129,SI_666,['To Let']
3606611,"€2,500 per month",2 Bed,1 Bath,N/A,5.7399492882553655,C2,['To Let']
3607676,"€2,934 per month",2 Bed,3 Bath,N/A,2.9566869064052774,C2,['To Let']
3469816,"€2,400 per month",2 Bed,1 Bath,N/A,1.6240823788569494,C2,['To Let']
3616392,"€1,500 per month",1 Bed,1 Bath,N/A,1.2195787960427842,D2,['To Let']
3612419,"€1,180 per month",1 Bed,1 Bath,N/A,1.717570958012354,SI_666,['To Let']
3609565,"€1,800 per month",1 Bed,1 Bath,N/A,4.008646343197772,C3,['To Let']
2737519,€895 per week,3 Bed,2 Bath,N/A,1.0702036556773573,B2,['To Let']
2618248,€840 per week,2 Bed,2 Bath,N/A,1.3789203658900866,C1,['To Let']
3477045,€850 per week,1 Bed,1 Bath,N/A,1.3643743931063046,C3,['To Let']
3618860,"€2,300 per month",2 Bed,2 Bath,N/A,13.558260907985016,B1,['To Let']
3618830,"€1,900 per month",2 Bed,1 Bath,N/A,12.367597835307189,C1,['To Let']
3569562,"€2,320 per month",2 Bed,2 Bath,N/A,6.321240810216703,A2,['To Let']
3539802,"€2,800 per month",2 Bed,1 Bath,N/A,1.0744281754401965,B3,['To Let']
3583312,"€2,155 per month",2 Bed,2 Bath,N/A,4.3368662838550005,C3,['To Let']
3618688,"€1,650 per month",1 Bed,1 Bath,N/A,1.4768664967788678,SI_666,['To Let']
3608048,"€1,500 per month",1 Bed,1 Bath,N/A,2.6129306034882416,SI_666,['To Let']
3616988,"€2,100 per month",2 Bed,1 Bath,N/A,1.4239460252412006,D1,['To Let']
3609513,"€2,300 per month",2 Bed,1 Bath,N/A,1.5945619202443988,SI_666,['To Let']
3275908,€950 per week,1 Bed,1 Bath,N/A,1.1472488936662493,C1,['To Let']
3199371,€875 per week,1 Bed,1 Bath,N/A,1.0116066383977014,C1,['To Let']
3560428,"€5,000 per month",2 Bed,2 Bath,N/A,1.8853256247633088,A2,['To Let']
3604629,"€1,690 per month",1 Bed,1 Bath,N/A,2.6307000644869505,SI_666,['To Let']
3616280,"€2,450 per month",2 Bed,2 Bath,N/A,5.93547484988111,SI_666,['To Let']
3574158,"€1,800 per month",1 Bed,1 Bath,N/A,1.4265470437330772,SI_666,['To Let']
3604795,"€2,200 per month",2 Bed,1 Bath,N/A,11.161979583356468,D1,['To Let']
3611594,"€2,300 per month",2 Bed,2 Bath,N/A,13.584446768805972,B3,['To Let']
3604930,"€1,700 per month",1 Bed,1 Bath,N/A,10.70509014492938,C1,['To Let']
3611343,"€2,200 per month",2 Bed,1 Bath,N/A,1.0169841663711916,B1,['To Let']
1823,€826 per week,1 Bed,1 Bath,N/A,2.320913495108337,SI_666,['To Let']
11506,€882 per week,2 Bed,2 Bath,N/A,2.237815964351683,SI_666,['To Let']
3606701,"€2,600 per month",2 Bed,2 Bath,N/A,1.0542834968216164,A1,['To Let']
3595242,"€2,500 per month",2 Bed,2 Bath,N/A,1.5557905820489357,D1,['To Let']
3609199,"€2,200 per month",2 Bed,1 Bath,N/A,0.6105949775158585,SI_666,['To Let']
3612470,"€1,399 per month",1 Bed,1 Bath,N/A,2.507033749736987,SI_666,['To Let']
3616994,"€1,800 per month",1 Bed,1 Bath,N/A,1.761064923695221,C3,['To Let']
3588327,"€1,925 per month",1 Bed,1 Bath,N/A,5.551588240167121,D2,['To Let']
3616894,€165 per week,1 Bed,1 Bath,N/A,2.2132325386244958,N/A,['To Let']
3616618,"€1,900 per month",2 Bed,2 Bath,N/A,2.317170747127621,C1,['To Let']
3603547,"€2,200 per month",2 Bed,1 Bath,N/A,11.565905028411322,D2,['To Let']
3502435,"€2,500 per month",2 Bed,1 Bath,N/A,1.573212351839289,B3,['To Let']
3591520,"€1,875 per month",2 Bed,2 Bath,N/A,11.501754350754519,C3,['To Let']
3518296,"€2,350 per month",2 Bed,2 Bath,N/A,0.9974382141018345,B1,['To Let']
3614360,"€2,350 per month",3 Bed,2 Bath,N/A,5.552536407895908,C3,['To Let']
3613703,"€1,850 per month",2 Bed,1 Bath,N/A,3.139556457536212,N/A,['To Let']
3613424,"€2,100 per month",2 Bed,1 Bath,N/A,2.3994255859179208,B1,['To Let']
3610661,"€2,400 per month",2 Bed,2 Bath,N/A,7.786477994311079,B3,['To Let']
3608911,"€2,200 per month",2 Bed,1 Bath,N/A,0.4954588786020561,C3,['To Let']
3599594,"€2,200 per month",2 Bed,2 Bath,N/A,1.0953784334111383,N/A,['To Let']
3612339,"€2,295 per month",2 Bed,1 Bath,N/A,0.3731557903328469,D1,['To Let']
3607536,"€2,347 per month",2 Bed,2 Bath,N/A,5.89421843392836,C1,['To Let']
3611263,"€1,800 per month",3 Bed,3 Bath,N/A,6.9334328689697635,N/A,['To Let']
3597069,"€1,850 per month",2 Bed,2 Bath,N/A,10.486228819480779,B3,['To Let']
3608990,"€2,000 per month",2 Bed,2 Bath,N/A,4.728165827199269,C1,['To Let']
3609213,"€1,900 per month",1 Bed,1 Bath,N/A,0.8866015606618671,SI_666,['To Let']
3599113,"€1,850 per month",2 Bed,1 Bath,N/A,15.957871659755034,B2,['To Let']
3597969,"€2,200 per month",2 Bed,2 Bath,N/A,7.948596649046496,N/A,['To Let']
3602126,"€1,800 per month",1 Bed,1 Bath,N/A,1.0666881909394572,C3,['To Let']
3619354,"€1,800 per month",2 Bed,1 Bath,N/A,13.501252153174114,C2,['To Let']
3619074,"€1,900 per month",2 Bed,2 Bath,N/A,10.895358361500444,C1,['To Let']
3607528,"€1,500 per month",3 Bed,3 Bath,N/A,9.3457388245179,D2,['To Let']
3619297,"€1,400 per month",1 Bed,1 Bath,N/A,1.1280026391421891,D1,['To Let']
3604199,"€2,000 per month",2 Bed,1 Bath,N/A,1.3599134836769722,N/A,['To Let']
3542121,"€3,600 per month",2 Bed,4 Bath,N/A,4.038063485812951,B1,['To Let']
3589187,"€1,700 per month",2 Bed,2 Bath,N/A,8.112136861001904,N/A,['To Let']
3608125,€650 per week,1 Bed,1 Bath,N/A,7.872355199391935,C1,['To Let']
3619157,"€1,750 per month",2 Bed,2 Bath,N/A,10.84865324376587,B3,['To Let']
3619222,"€1,900 per month",2 Bed,1 Bath,N/A,8.744014440000498,D1,['To Let']
3619181,"€4,700 per month",3 Bed,3 Bath,N/A,2.0662046745505553,B2,['To Let']
3619162,"€4,000 per month",3 Bed,3 Bath,N/A,2.0316388649474972,B2,['To Let']
2618250,€910 per week,3 Bed,2 Bath,N/A,0.7116276263114785,C1,['To Let']
